Y,X1,X2,X3,X4
0,-0.26940683444455776,4.867840402705367,0,A
1,0.7175422557959623,2.5779676004750867,0,C
0,1.502357052096028,3.696327784395682,0,C
1,0.07409478041977519,5.094797342632828,1,C
0,1.6286155455712918,3.2791732694320954,1,B
1,-1.3801014582148914,4.230888911540349,0,B
1,-1.7033824393551547,7.012585618428881,0,C
1,-0.05554769889661878,3.8462162609537023,1,B
0,0.3840654489393073,6.671384224130284,0,B
1,-0.03269474809409311,2.740586290684764,0,A
1,-2.0674421000398766,6.059608355830566,0,C
1,-0.08912003951278841,7.883137241315801,1,C
1,-1.3044695005048532,0.056710999745421375,0,B
1,0.6696725488300385,3.406209489059046,1,C
0,0.36659824609684827,6.15414425436108,0,A
1,-0.9398797863273552,4.593909227914015,1,A
1,-0.5138669173366935,5.742291746742618,1,A
1,-1.0592135218889516,3.792029626568359,0,C
0,-0.06267909727317188,5.1731795749458,1,C
0,0.9551423205012383,4.688645529215841,0,C
1,-0.9857260463355437,7.335564123319615,1,C
1,0.5040465155178444,5.508841686602426,0,C
0,-0.5302576183724408,5.675205324150404,0,A
1,-0.7928728322623442,4.1762460677550655,1,B
0,-0.10703035995455783,4.024787551855013,0,A
0,-1.035242322419374,4.134883624360758,0,C
0,-0.553649305347182,5.788904284756594,1,A
0,-1.1978778925888485,4.158031038359474,0,C
1,1.9647251329163893,5.579549713792826,0,C
0,0.03526355197172861,9.150801597290878,1,A
1,-0.6997255079925856,6.742249406863385,1,C
1,0.213979910734222,4.347952935664318,0,B
1,-0.11232804969082982,7.40242784432789,0,C
1,-0.22096959953322298,4.183849253956897,1,B
0,0.6141667000434252,0.9237509296442923,1,B
1,0.7575077100473051,2.983827378165192,0,C
1,-0.5305011476105275,1.2584161579482886,1,A
0,-0.57581824064468,4.296973031917383,0,B
1,-0.275051697151644,5.036836758379104,0,A
1,-2.301921164735585,8.352874624550566,0,B
1,-1.5151910621985523,5.653854747528325,0,C
1,1.3668742674445247,4.561798942382271,0,C
1,1.6449677135012837,6.658811162366979,1,B
0,-0.24903603955637832,0.5777293819842297,1,C
1,0.5765569630557664,5.471229116217132,1,B
1,0.3112501545435361,6.541730387773933,1,C
0,3.0788808084552377,2.042827508440317,0,A
0,1.1195749114345768,7.287508086413858,0,C
0,-0.12791759148076653,5.676992814988829,0,A
1,-0.9555404406004258,4.169424172198397,0,C
1,-1.6064463202575725,6.26556373221257,1,A
0,0.2034636358672231,9.541385715608792,0,C
1,-0.7563507452843033,5.36373251011699,0,A
0,-1.4222537095976742,5.496441172600672,1,B
1,-0.6465728842425266,4.081278200919511,1,B
1,-1.081548003614395,3.3003112610704166,1,A
1,1.6871416350725648,6.660671633088491,1,C
0,0.8816397569494505,3.2878323481822656,0,A
0,-0.007972641316617372,5.143132474438785,0,C
0,1.4799441388900259,4.044685106469767,1,B
0,0.0773683076476183,5.957959651492784,0,C
1,-0.8612842013282637,5.667324210573897,0,B
1,1.5231240772696573,7.075079888515798,0,C
1,0.5389100436846587,3.979967202290506,1,C
1,-1.0372461543264564,4.460250129413257,0,C
1,-0.1903386780836082,3.042472568435385,1,A
1,-0.8756182533847572,4.111413479847776,0,A
1,-1.382799730964336,5.754600986089704,0,B
1,0.9261775475316414,6.513977233290704,0,B
0,1.9094166404701305,3.1556693516447494,1,A
0,-1.3985675738191412,6.73921184021132,0,B
0,0.5629692366905709,7.711275717609902,1,A
1,-0.6506425691218269,5.826869806447402,1,C
1,-0.48712538376469605,8.753591625116131,1,B
0,-0.5923939242388692,3.452421601792854,0,B
1,-0.863990769679816,2.510690593377166,0,A
1,0.04852162794482699,1.4425595021914428,0,B
0,-0.8309501164110378,7.9920886229783665,0,B
0,0.2704568257798388,6.308731312708115,1,C
1,-0.05023810944913695,4.8888306581790895,1,B
1,-0.23894804686640975,5.5599372526396404,1,C
1,-0.9075636620415979,2.749021905403247,0,A
1,-0.5767713305683327,9.891503959233653,1,B
1,0.755391225825756,5.258442363950455,0,C
1,0.5009171876243808,5.218789589209786,1,A
1,-0.977555244798551,6.451533247797384,0,B
1,0.09933230542922587,5.962018463473426,0,A
0,0.751387123371789,5.447768048558263,1,B
0,-1.6694052811213718,3.4190510891093764,1,A
0,0.543360192379935,5.942936714271991,1,A
1,-0.6626237589458467,8.764048992950068,1,C
1,0.5705986685931593,7.690840092309955,0,A
1,-0.7632591565425169,8.186373253278795,1,B
0,-1.804882100664519,3.9775686471376295,1,B
0,-1.6275424378831627,3.020790359482838,1,C
0,0.048084946661381994,4.748426159800704,0,B
0,0.25972250172148187,5.111449824577389,0,B
1,-0.9043166251044086,7.188383036941897,1,B
0,0.6385924587773739,1.6150707405703613,0,A
0,-1.6615200622689599,8.059100638921228,1,A
